Business Name,Description,Industry Code,Industry,Employees,Address,Mailing Address,Distance,Phone,Key Contact,Title,Web Site,Established
Media Components LLC,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"67 Buck Rd # B56 HUNTINGDON VLY, PA 19006-1540",,10.3,215-396-3311,Denis Sinelnikov,Owner,MEDIACOMPONENTS.COM,2001
Anteon Corp,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"309 Fellowship Rd MT LAUREL, NJ 08054-1234",,10.3,856-642-4040,,,,2006
It Support Solutions,Computers-Support Services,541500,Computer Systems Design and Related Services,1-4,"309 Fellowship Rd # 200 MT LAUREL, NJ 08054-1234",,10.3,856-258-8753,,,ITSUPPORTSOLUTIONS.NET,2019
Juniper Networks,Internet Svcs-Network Designers/Conslnt,541500,Computer Systems Design and Related Services,100-499,"309 Fellowship Rd MT LAUREL, NJ 08054-1234",,10.3,856-642-4010,Patrick Kernan,Manager,JUNIPER.NET,2007
Qellus LLC,Computer Integrated Systems Design,541500,Computer Systems Design and Related Services,5-9,"309 Fellowship Rd MT LAUREL, NJ 08054-1234","309 Fellowship Rd # 200
Mt Laurel, NJ 08054-1234",10.3,856-000-1111,Ihsan Hall,Exec Officer,,2021
Ventures Unlimited Inc,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"309 Fellowship Rd # 200 MT LAUREL, NJ 08054-1234",,10.3,201-377-5954,Jitu Singh,Partner,VUI-INC.COM,2004
Heraeus Inc,Information Technology Services,541500,Computer Systems Design and Related Services,100-499,"770 Township Line Rd # 300 YARDLEY, PA 19067-4232",,10.3,215-944-9981,Raquel Posada,Manager,HERAEUS.COM,1981
Assetworks Inc,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,10-99,"101 Lakeside Park SOUTHAMPTON, PA 18966-4048",,10.3,215-354-1078,,,,2019
Results Guaranteed,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"203 Lakeside Park SOUTHAMPTON, PA 18966-4049",,10.3,215-309-9420,,,RESULTSGUARANTEEDMARKETING.COM,2023
Meadow Gate,Computer Services,541500,Computer Systems Design and Related Services,10-99,"171 Jersey St # 3 TRENTON, NJ 08611-2400",,10.5,609-393-3618,John Wetter,Manager,,2005
Cas It Consulting LLC,Computer Integrated Systems Design,541500,Computer Systems Design and Related Services,1-4,"11 Horseshoe Dr MT LAUREL, NJ 08054-3055",,10.5,908-000-1111,,,,2022
Integ Network Solutions Ntwrk,Computers-Networking,541500,Computer Systems Design and Related Services,1-4,"855 US Highway 206 BORDENTOWN, NJ 08505-1533",,10.5,609-324-0200,,,,2015
EPAM Systems Inc,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,10-99,"41 University Dr # 202 NEWTOWN, PA 18940-1873",,10.6,267-759-9000,Elaina Shekhter,Director,EPAM.COM,1993
Swain Online Inc,Computer Integrated Systems Design,541500,Computer Systems Design and Related Services,10-99,"41 University Dr # 467 NEWTOWN, PA 18940-1873",,10.6,215-000-1111,,,,2020
Consolidated Micro Inc,Computer Related Services NEC,541500,Computer Systems Design and Related Services,1-4,"96 Hidden Cove Dr # 100 SOUTHAMPTON, PA 18966-1531",,10.6,215-357-4552,Michael Sham,President,CONSOLIDATEDMICROINC.COM,2015
Assigned Data Inc,Computer Integrated Systems Design,541500,Computer Systems Design and Related Services,5-9,"137 Gaither Dr # F MT LAUREL, NJ 08054-1711","3111 Route 38
Mt Laurel, NJ 08054-9754",10.6,856-231-8400,,,,2013
Forward Tech Solutions LLC,Website Design Service,541500,Computer Systems Design and Related Services,5-9,"131 Gaither Dr MT LAUREL, NJ 08054-1709",,10.6,856-234-5588,,,,2011
Mymanagedtech,Computers-Support Services,541500,Computer Systems Design and Related Services,1-4,"139 Gaither Dr # C MT LAUREL, NJ 08054-1713",,10.6,609-755-4216,Alex Petras,Owner,MYMANAGEDTECH.COM,2000
Enterra Solutions LLC,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"17 Blacksmith Rd # 200 NEWTOWN, PA 18940-1848",,10.6,215-497-3100,Steve Deangelis,CEO,ENTERRASOLUTIONS.COM,2003
Keystone Information Systems,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,10-99,"1000 S Lenola Rd MAPLE SHADE, NJ 08052-1630",,10.7,856-722-0700,Judd Van Dervort Jr,President,KEYINFOSYS.COM,1975
Sapchat Inc,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,5-9,"72 Wellesley Way MARLTON, NJ 08053-5627",,10.7,908-000-1111,,,,2023
Ready Solutions LLC,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"1583 Hainsprt Mt Lurl Rd # R MT LAUREL, NJ 08054-9516",,10.8,856-437-0458,Fred Campbell,Other,READYSOLUTIONS.ORG,2015
Two Six Technologies,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"501 Fellowship Rd # 201 MT LAUREL, NJ 08054-3419",,10.8,856-000-1111,Kurt Bliefernich,Engr/Tech,TWOSIXTECH.COM,2018
Makefield Consulting Group LLC,Information Technology Services,541500,Computer Systems Design and Related Services,1-4,"115 Pheasant Run # 210 NEWTOWN, PA 18940-1886","PO Box 455
Newtown, PA 18940-0455",10.8,267-352-4440,Dana Cooper,Director,MAKEFIELDGROUP.COM,2016
Sunflower International Inc,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"115 Pheasant Run # 110 NEWTOWN, PA 18940-1886",,10.8,215-000-1111,,,,2014
Oxenberg Consulting LLC,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,5-9,"22 Moorlinch Blvd MEDFORD, NJ 08055-4014",,10.9,908-000-1111,,,,2023
Digital7 Productions,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"1390 Industrial Blvd # B SOUTHAMPTON, PA 18966-4034",,10.9,215-297-3057,Chris Conner,Manager,SEVENWRAPS.COM,2000
CMB Entrp,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"1947 S Broad St TRENTON, NJ 08610-6072",,10.9,609-450-2031,,,,2012
Adax Inc,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,5-9,"520 Fellowship Rd MT LAUREL, NJ 08054-3407",,10.9,510-548-7047,,,ADAX.COM,1992
Perfect Wave Technologies LLC,Information Technology Services,541500,Computer Systems Design and Related Services,1-4,"520 Fellowship Rd # B204 MT LAUREL, NJ 08054-3408",,10.9,856-389-9080,Michael Matakonis,Director,PERFECTWAVETECHNOLOGIES.COM,2016
Intraprise Solutions,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,10-99,"1020 Stony Hill Rd # 275 YARDLEY, PA 19067-5536","2370 York Rd
Jamison, PA 18929",11,267-685-0091,,,,2016
Selas Heat Technology Co LLC,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"54 Friends Ln # 125 NEWTOWN, PA 18940-3403",,11,215-646-6600,,,SELAS.COM,2016
Advanced Computer Solutions,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"521 Fellowship Rd # 140 MT LAUREL, NJ 08054-3442",,11.1,856-242-3601,,,SILVERSKY.COM,2015
Cirring Interactive,Computer Consultants,541500,Computer Systems Design and Related Services,1-4,"521 Fellowship Rd # 120 MT LAUREL, NJ 08054-3413",,11.1,856-866-7500,Randy Schell,Vice President,CIRRING.COM,2000
Thrive,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"525 Fellowship Rd # 300 MT LAUREL, NJ 08054-3415",,11.1,877-799-2739,Tina Mach,CEO,THRIVENEXTGEN.COM,2007
Airclic,Computer Related Services NEC,541500,Computer Systems Design and Related Services,1-4,"411 S State St NEWTOWN, PA 18940-1990",,11.1,215-504-0560,,,DESCARTES.COM,2015
Fitzgerald & Co,Data Systems Consultants & Designers,541500,Computer Systems Design and Related Services,1-4,"530 Charleston Ct MT LAUREL, NJ 08054-2805",,11.1,856-273-9670,Brian Fitzgerald,President,FITZ-IN.COM,2007
Titan Technologies Inc,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"780 Newtown Yardley Rd # 324 NEWTOWN, PA 18940-4504",,11.1,215-968-4300,,,TITAN-TECHS.COM,2015
Maestro Technologies Inc,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,10-99,"1 W State St # 2 TRENTON, NJ 08608-1205",,11.1,908-458-8600,Sunil Lekhi,Director,DEV.MAESTRO.COM,2016
Business Logic,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,10-99," SOUTHAMPTON, PA 18966",,11.2,215-497-0200,,,,1999
Computer Forge,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"67 Buck Rd SOUTHAMPTON, PA 18966",,11.2,215-942-0614,,,,2009
Biondo Creative,Website Design Service,541500,Computer Systems Design and Related Services,10-99,"1114 Tabor Ter PHILADELPHIA, PA 19111-1429",,11.2,267-362-9321,Anthony Biondo,President,BIONDOCREATIVE.COM,2013
Tecklink,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"1021 Hoffnagle Pl PHILADELPHIA, PA 19111-1438",,11.2,215-740-7437,Dennis Mcguire,Owner,,2003
Marden Web Design,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"2301 Dale Rd HUNTINGDON VLY, PA 19006-6408",,11.2,215-947-4712,Dennis Dunleavy,President,,2012
RV Global Solutions Inc,Computer Related Services NEC,541500,Computer Systems Design and Related Services,1-4,"247 E Front St # 1 TRENTON, NJ 08611-1717",,11.2,609-000-1111,,,RVGLOBALSOLUTIONS.COM,2018
Transcend It LLC,Computer Related Services NEC,541500,Computer Systems Design and Related Services,1-4,"247 E Front St # 1 TRENTON, NJ 08611-1717",,11.2,609-000-1111,,,,2019
Shaantek Inc,Computer Related Services NEC,541500,Computer Systems Design and Related Services,1-4,"15 Winter Rd SOUTHAMPTON, PA 18966-2732",,11.3,215-968-5069,,,,2009
MRS Consulting,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"1200 S Church St # 17 MT LAUREL, NJ 08054-2936",,11.3,856-914-9000,,,MRE-CONSULTING.COM,2000
Redzara LLC,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"1 Colemantown Dr CHESTERFIELD, NJ 08515-9788",,11.3,609-000-1111,,,REDZARA.COM,2018
Red Nucleus,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"19 W College Ave # 300 YARDLEY, PA 19067-1577",,11.4,215-321-0705,Ian Kelly,CEO,REDNUCLEUS.COM,2016
Digital Wave Technologies Inc,Computer Related Services NEC,541500,Computer Systems Design and Related Services,1-4,"2522 Walton Rd HUNTINGDON VLY, PA 19006-6124",,11.5,267-808-2383,,,DIGITALWAVE.COM,2016
Parallel Edge Inc,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"718 Benson St PHILADELPHIA, PA 19111-1933",,11.5,610-293-0101,Sondra Lorino,President,,1996
Advanced Provider Solutions,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"2350 Huntingdon Pike HUNTINGDON VLY, PA 19006-6110",,11.5,215-659-1676,David Klein,Other,APS.G4HS.NET,2015
Iyushmed LLC,Computer Related Services NEC,541500,Computer Systems Design and Related Services,1-4,"1177 University Dr YARDLEY, PA 19067-2861",,11.5,215-000-1111,,,,2021
Telemed Ventures LLC,Computer Related Services NEC,541500,Computer Systems Design and Related Services,5-9,"1177 University Dr YARDLEY, PA 19067-2861",,11.5,215-431-8326,Raj Shah,President,TELEMEDVISIT.COM,1971
Dyn Tek,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"1120 Route 73 # 100 MT LAUREL, NJ 08054-5113",,11.5,856-834-1100,Joe Rubino,Director,DYNTEK.COM,2008
I T Asst LLC,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"2 Swamp Rd NEWTOWN, PA 18940-1525",,11.6,215-968-2702,,,,2013
Teamlogic IT,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"2 Swamp Rd NEWTOWN, PA 18940-1525",,11.6,215-968-4376,Stewart Paul,Owner,TEAMLOGICIT.COM,2006
Blackmagic Design Inc,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"230 N Maple Ave MARLTON, NJ 08053-9400",,11.6,408-954-0500,,,BLACKMAGICDESIGN.COM,2002
Abir Enterprises,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"1199 Quarry Commons Dr YARDLEY, PA 19067-4021",,11.7,215-321-2266,,,,2012
Compusultants LLC,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"1816 Steamboat Sta SOUTHAMPTON, PA 18966-4185",,11.7,215-000-1111,,,,2014
Wright Computing Solutions,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"3498 Delaware Ct PENNSAUKEN, NJ 08109-3841",,11.7,856-486-7973,,,,2004
HPT Systems Inc,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"283 2nd Street Pike # 170 SOUTHAMPTON, PA 18966-3870",,11.7,215-364-8226,Alan Herr,President,,1987
Dynamic Imaging Systems Inc,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,10-99,"1000 Atrium Way # 203 MT LAUREL, NJ 08054-3904",,11.8,856-988-1545,Linda Holmes,Owner,CORRETRAK.COM,2005
Watcher Inc,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"9000 Commerce Pkwy # H MT LAUREL, NJ 08054-2234",,11.8,856-222-0643,Marty Roselli,Vice President,,1930
Decision One,Computer Services,541500,Computer Systems Design and Related Services,10-99,"6000 Commerce Pkwy # F MT LAUREL, NJ 08054-2226",,11.8,856-231-8880,Rene Luyt,Director,DECISIONONE.COM,1998
PMC Advanced Technology LLC,Information Technology Services,541500,Computer Systems Design and Related Services,1-4,"1288 Route 73 # 120 MT LAUREL, NJ 08054-2237",,11.8,856-533-1882,Wei Chen,IT,PMC-AT.COM,2011
Datatech Labs Data Recovery,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,5-9,"3000 Atrium Way # 200 MT LAUREL, NJ 08054-3910",,11.9,856-600-4377,,,DATATECHLAB.COM,2019
Technology Business Solutions,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"3000 Atrium Way # 108 MT LAUREL, NJ 08054-3910",,11.9,856-778-5838,John Myer,Owner,TBSNETWORKS.NET,1994
Drextec Inc,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"20000 Horizon Way MT LAUREL, NJ 08054-4303",,11.9,856-234-7969,,,,2011
Patrick Macdonald Designs,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"112 W Lynford Rd RICHBORO, PA 18954-1380",,11.9,215-932-3108,Patrick Mac Donald,Owner,PMDDESIGN.COM,2001
Yanilex Systems LLC,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"1203 Gilham St PHILADELPHIA, PA 19111-5521",,12,267-746-1024,,,YANILEXSYSTEMS.COM,2019
Valerity,Information Technology Services,541500,Computer Systems Design and Related Services,1-4,"120 Cornwall Ave TRENTON, NJ 08618-3320",,12,609-000-1111,,,VALERITY.COM,2019
Leidos Inc,Computer Integrated Systems Design,541500,Computer Systems Design and Related Services,5-9,"3000 Lincoln Dr E # G MARLTON, NJ 08053-1500",,12,856-000-1111,,,,2021
F Z P Assoc,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"23 Juniper Dr RICHBORO, PA 18954-1625",,12,215-000-1111,,,,2014
Correlative Inc,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,10-99,"1 Eves Dr # 111 MARLTON, NJ 08053-3125",,12,856-810-0411,Ron Leone,Owner,CORRELATIVE.COM,1997
Crystal Data LLC,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,5-9,"1 Eves Dr # 145 MARLTON, NJ 08053-3125","1 Eves Dr
Marlton, NJ 08053-3125",12,856-000-1111,Saif Alam,Manager,CRYSTALDATASYSTEMS.NET,2018
South Jersey Techies,Information Technology Services,541500,Computer Systems Design and Related Services,5-9,"229 N Locust Ave MARLTON, NJ 08053-1773",,12.1,856-745-9990,Anit Shah,Owner,SOUTHJERSEYTECHIES.NET,2004
L H D Analytics Ltd,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"628 Harpers Ln HUNTINGDON VLY, PA 19006-8439",,12.1,215-000-1111,,,,2015
College of New Jersey,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"15 Wilburtha Rd EWING, NJ 08628-2615",,12.2,609-000-1111,,,,2015
NJ Tek Squad,Computers-Support Services,541500,Computer Systems Design and Related Services,10-99,"802 Hoffman Ave TRENTON, NJ 08618-2908",,12.2,609-906-1175,,,,2014
Star Systems,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"1381 Rhoades Dr HUNTINGDON VLY, PA 19006-2621",,12.2,215-947-7711,,,,2000
Altek Business Systems,Information Technology Services,541500,Computer Systems Design and Related Services,5-9,"10000 Lincoln Dr E # 201 MARLTON, NJ 08053-3105",,12.2,856-334-6149,,,ALTEKIMAGING.COM,2023
FZP Digital,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"851 Bustleton Pike # 286 RICHBORO, PA 18954-3035",,12.4,215-867-8617,,,FZPDIGITAL.COM,2019
Specialty Graphics,Computer Graphics,541500,Computer Systems Design and Related Services,1-4,"1950 Old Cuthbert Rd # H CHERRY HILL, NJ 08034-1439",,12.4,856-229-7903,,,,2011
PSC,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"597 Deer Rd CHERRY HILL, NJ 08034-1747",,12.4,856-873-5655,,,HELPMEPCS.COM,2018
Techsoft Inc,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"801 Route 73 N MARLTON, NJ 08053-1282",,12.4,856-334-8953,,,MDRHYTHM.COM,2013
Xact It Solutions,Computers-Support Services,541500,Computer Systems Design and Related Services,1-4,"751 Route 73 N # 7 MARLTON, NJ 08053-3456",,12.4,856-282-4100,Bryan Hornung,Manager,XITX.COM,2004
Dunleavy Inc,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,10-99,"16 Muirfield Ct MEDFORD, NJ 08055-8729",,12.5,609-707-8143,Victoria Dunleavy,Owner,DUNLEAVYINC.COM,2011
Presidio Networked Solutions,Data Communications Systems-Networks,541500,Computer Systems Design and Related Services,1-4,"600 Deer Rd # 4 CHERRY HILL, NJ 08034-1450",,12.5,610-684-2900,,,PRESIDIO.COM,2018
Liberty Fox Technologies LLC,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"931 Huntingdon Pike HUNTINGDON VLY, PA 19006-8305",,12.5,215-935-6047,William Evans,Owner,LIBERTYFOXTECH.COM,2010
Weblink Studio,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"418 Parkview Way NEWTOWN, PA 18940-1141",,12.5,267-364-0300,Gudrun Frank,President,,2008
Insap Services Inc,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"651 Route 73 N # 103 MARLTON, NJ 08053-3445",,12.6,856-810-5772,Ritu Sehgal,Owner,INSAPINC.COM,2007
CTB Systems,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"1916 Old Cuthbert Rd CHERRY HILL, NJ 08034-1457",,12.6,856-857-0670,David Mickelson,Owner,CTBSYS.COM,1998
Limebox Networks,Data Communications Systems-Networks,541500,Computer Systems Design and Related Services,5-9,"1916 Old Cuthbert Rd # B13 CHERRY HILL, NJ 08034-1459","PO Box 3641
Cherry Hill, NJ 08034-0560",12.6,856-942-4079,Charles Phillips,CIO/CTO,LIMEBOXSERVICES.COM,2015
Montagna Associates,Computer Consultants,541500,Computer Systems Design and Related Services,1-4,"60 Wilburtha Rd EWING, NJ 08628-2634",,12.6,609-530-8946,John Montagna,Owner,MONTAGNAASSOC.COM,2011
Dynamic Imaging Systems Inc,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"733 Route 70 E MARLTON, NJ 08053-2300",,12.6,856-988-1545,,,,2015
Cablenet Services Unltd Inc,Computers-Networking,541500,Computer Systems Design and Related Services,10-99,"3000 Orthodox St PHILADELPHIA, PA 19137-2047",,12.6,215-613-8912,,,,2012
NEKEY.COM,Computers-Networking,541500,Computer Systems Design and Related Services,1-4,"7215 Maple Ave PENNSAUKEN, NJ 08109-2945",,12.6,856-663-1332,,,,2019
NJ Technology,Website Design Service,541500,Computer Systems Design and Related Services,10-99,"525 Route 73 N MARLTON, NJ 08053-3422",,12.6,609-451-0028,,,NJTECHNOLOGY.COM,2005
South Jersey Web Design,Website Design Service,541500,Computer Systems Design and Related Services,5-9,"525 Route 73 N MARLTON, NJ 08053-3422",,12.6,609-422-5888,Brian Depue,Business Dev,SOUTHJERSEYWEBDESIGN.COM,1997
Data Experts,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"909 Coates Rd JENKINTOWN, PA 19046-2541",,12.7,215-782-3560,Shep Poor,CEO,DATAEXPERTS.COM,2002
RHD Mainstay,Programming,541500,Computer Systems Design and Related Services,1-4,"6324 Palmetto St PHILADELPHIA, PA 19111-5712",,12.7,267-343-8922,,,,2018
Webesco LLC,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"125 Westminster Ave MARLTON, NJ 08053-1669",,12.7,215-416-5526,Ernest Tedesco Jr,Manager,WEBESCO.NET,2007
Telesto Group LLC,Computer Related Services NEC,541500,Computer Systems Design and Related Services,1-4,"1 N Johnston Ave # A220 TRENTON, NJ 08609-1806",,12.7,609-503-7260,Dinesh Malhotra,Director,GSWELL.COM,2016
Peer 2 Peer Networking Inc,Computers-Networking,541500,Computer Systems Design and Related Services,1-4,"133 Westminster Ave EVESHAM, NJ 08053-1669",,12.8,856-574-4428,,,,2011
B & D Contributor Recognition,Donor Recognition Systems,541500,Computer Systems Design and Related Services,5-9,"1879 Old Cuthbert Rd CHERRY HILL, NJ 08034-1433",,12.8,856-354-2004,Bernard Epworth,Owner,,2001
Paramount Advanced Wireless,Computers-Networking,541500,Computer Systems Design and Related Services,1-4,"851 Bethel Ave PENNSAUKEN, NJ 08110-2605",,12.8,609-313-1353,,,PARAMOUNTADVANCEDWIRELESS.COM,2012
Innovative Attorney Marketing,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"1 Keystone Ave # 700 CHERRY HILL, NJ 08003-1628",,12.9,856-834-2251,,,,2023
PM Federal LLC,Computer Related Services NEC,541500,Computer Systems Design and Related Services,1-4,"544 Ashbourne Rd CHELTENHAM, PA 19012-1702",,13,215-000-1111,,,PMFEDERAL.COM,2018
Jireh Technologies LLC,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"1800 E State St # 150 TRENTON, NJ 08609-2022",,13,609-587-2350,Victor Guzman,Owner,JIREH-TECHNOLOGIES.COM,2011
Sussman Consultants,Website Design Service,541500,Computer Systems Design and Related Services,5-9,"1800 E State St # 134 HAMILTON, NJ 08609-2022",,13,732-853-8858,Stephen Mittler,Vice President,SUSSMANCONSULTANTS.COM,2019
Decision Research Corp,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,10-99,"300 Stevens St PHILADELPHIA, PA 19111-6021",,13,808-983-9171,Joseph Sturges,IT,DECISIONRESEARCH.COM,2019
Health Tech Pal Corp,Computer Related Services NEC,541500,Computer Systems Design and Related Services,1-4,"1930 Marlton Pike E # Q37 CHERRY HILL, NJ 08003-4204",,13.2,856-000-1111,,,,2021
Integrated Technology Strtgs,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"1930 Marlton Pike E CHERRY HILL, NJ 08003-2150",,13.2,856-283-2114,Tom Sundar,Manager,INTEGRATEDTECHSTRATEGIES.COM,2012
Networkzing,Computers-Networking,541500,Computer Systems Design and Related Services,1-4,"1814 Marlton Pike E CHERRY HILL, NJ 08003-2057",,13.2,856-673-4050,,,NETWORKZING.COM,2007
Networking Concierge Support,Computers-Networking,541500,Computer Systems Design and Related Services,1-4,"123 E Main St # 1267 MARLTON, NJ 08053-7460",,13.3,609-923-1301,,,,2016
Techstarters,Information Technology Services,541500,Computer Systems Design and Related Services,1-4,"1111 Marlkress Rd # 204 CHERRY HILL, NJ 08003-2334",,13.3,877-932-0040,Rich Snyder,Manager,TECHSTARTERS.COM,2010
Aurora Information System,Computer Services,541500,Computer Systems Design and Related Services,5-9,"1873 Marlton Pike E # 220 CHERRY HILL, NJ 08003-2036",,13.3,856-596-4180,John Sooy,President,FOODPRO.COM,2000
Entercomteck,Computers-Networking,541500,Computer Systems Design and Related Services,10-99,"111 Lawrence Rd LAWRENCE TWP, NJ 08648-4307",,13.3,609-571-9347,,,,2014
Electrosonic,Computer Integrated Systems Design,541500,Computer Systems Design and Related Services,10-99,"1239 Parkway Ave # 202 EWING, NJ 08628-3000",,13.3,609-882-2656,,,ELECTROSONIC.COM,1982
Tech Commandos Inc,Computers-Networking,541500,Computer Systems Design and Related Services,5-9,"46 S Maple Ave MARLTON, NJ 08053-2002",,13.3,856-912-4670,James Davis,President,TECHCOMMANDOS.COM,2013
Set Now Solutions,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"33 Ronit Dr EWING, NJ 08628-2225",,13.3,609-406-1665,Michael Miller,Vice President,CORPNOTE.COM,2004
Wickford Group Consultants,Computer Integrated Systems Design,541500,Computer Systems Design and Related Services,1-4,"118 Partree Rd CHERRY HILL, NJ 08003-2112",,13.3,856-751-6216,David Rockford,President,,2009
Andlogic Computers,Computer Disaster Planning,541500,Computer Systems Design and Related Services,1-4,"200A Whitehead Rd # 212 TRENTON, NJ 08619-3290",,13.3,609-858-9823,,,ANDLOGICCOMPUTERS.NET,2012
M N G S Inc,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"40 Silo Hill Dr RICHBORO, PA 18954-1145",,13.4,215-000-1111,Michael Gorevoy,President,,2014
Digital Facilities Management,Website Design Service,541500,Computer Systems Design and Related Services,5-9,"401 Cooper Landing Rd # C9 CHERRY HILL, NJ 08002-2538",,13.4,856-667-1187,Michael Jewel,Owner,DIGITALFM.COM,2007
Hallmark Health Care Solutions,Computer Related Services NEC,541500,Computer Systems Design and Related Services,1-4,"RR 73 Box 525 MARLTON, NJ 08053",,13.4,214-905-1900,,,,2017
Pro Computer Svc LLC,Computer Services,541500,Computer Systems Design and Related Services,5-9,"12000 Lincoln Dr W MARLTON, NJ 08053-3401",,13.4,856-596-4446,,,HELPMEPCS.COM,2016
Sagapixel,Website Design Service,541500,Computer Systems Design and Related Services,10-99,"523 Hollywood Ave # 201 CHERRY HILL, NJ 08002-2860",,13.5,856-701-7947,,,SAGAPIXEL.COM,2018
Ideal PCS Inc,Computer Services,541500,Computer Systems Design and Related Services,1-4,"1603 E Erie Ave PHILADELPHIA, PA 19124-4441",,13.5,215-000-1111,,,,2015
Redeye Inc,Information Technology Services,541500,Computer Systems Design and Related Services,5-9,"1675 Whitehorse Mercerville Rd TRENTON, NJ 08619-3825",,13.5,732-475-2717,Ed Wenzel,CEO,REDEYE.TECH,2005
Adaptive Clinical Systems,Computer Integrated Systems Design,541500,Computer Systems Design and Related Services,1-4,"1175 Marlkress Rd # 2632 CHERRY HILL, NJ 08034-8043",,13.6,856-452-0864,,,ADAPTIVE-CLINICAL.COM,2015
Landisnetusa,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"722 Landis St PHILADELPHIA, PA 19124-3011",,13.6,215-837-3698,Russell Smith,Owner,,2005
Database Solutions Inc,Website Design Service,541500,Computer Systems Design and Related Services,10-99,"325 Marlton Pike E CHERRY HILL, NJ 08034-2408",,13.6,856-616-1500,George Brown,President,WAVESEEKER.COM,2012
